State,County,O3-AQI,CO-AQI,NO2-AQI,SO2-AQI,total
Montana,Flathead,225293.0,40086.0,0.0,0.0,265379.0
Wisconsin,Oneida,91880.0,0.0,0.0,172443.0,264323.0
Idaho,Butte,262652.0,0.0,0.0,0.0,262652.0
Vermont,Rutland,39604.0,38687.0,123634.0,60594.0,262519.0
Oklahoma,Dewey,262439.0,0.0,0.0,0.0,262439.0
Georgia,Paulding,208932.0,15102.0,38384.0,0.0,262418.0
Florida,Osceola,261695.0,0.0,0.0,0.0,261695.0
Pennsylvania,Somerset,261535.5,0.0,0.0,0.0,261535.5
Kentucky,Hancock,218768.0,0.0,0.0,42489.0,261257.0
Texas,Nueces,238632.33333333334,0.0,0.0,22534.833333332535,261167.16666666587
Florida,Marion,261007.0,0.0,0.0,0.0,261007.0
Arizona,Yuma,238399.0,2900.0,18249.0,1350.0,260898.0
Florida,St. Lucie,224795.0,0.0,36091.0,0.0,260886.0
Florida,Lake,260680.0,0.0,0.0,0.0,260680.0
Mississippi,Yalobusha,260327.0,0.0,0.0,0.0,260327.0
Nevada,Carson City,228016.0,32149.0,0.0,0.0,260165.0
Virginia,Prince Edward,259814.0,0.0,0.0,0.0,259814.0
California,Colusa,259798.0,0.0,0.0,0.0,259798.0
Oregon,Lane,209527.0,50237.0,0.0,0.0,259764.0
Michigan,Tuscola,259721.5,0.0,0.0,0.0,259721.5
New York,Westchester,259283.0,0.0,0.0,0.0,259283.0
South Carolina,York,257913.49999999994,0.0,0.0,804.0,258717.49999999994
Wyoming,Fremont,230096.74999999983,1028.0,9377.166666666666,17790.0,258291.91666666648
Florida,Leon,258285.83333333334,0.0,0.0,0.0,258285.83333333334
Louisiana,St. James,256571.0,0.0,87.0,1174.0,257832.0
Florida,Baker,257770.0,0.0,0.0,0.0,257770.0
Virginia,Rockingham,114560.0,0.0,118331.0,24202.5,257093.5
New York,Dutchess,252997.0,0.0,0.0,3057.0,256054.0
Wisconsin,Brown,161140.0,0.0,0.0,94831.0,255971.0
Illinois,McLean,255138.0,0.0,0.0,0.0,255138.0
Illinois,Jo Daviess,254890.5,0.0,0.0,0.0,254890.5
Kansas,Linn,208743.0,7478.0,26074.0,11691.0,253986.0
California,Humboldt,193084.0,25089.0,34133.0,1555.0,253861.0
Michigan,Wexford,253657.5,0.0,0.0,0.0,253657.5
Delaware,Kent,252452.0,0.0,0.0,0.0,252452.0
New York,Saratoga,251987.0,0.0,0.0,0.0,251987.0
New York,Herkimer,242329.0,0.0,0.0,9524.0,251853.0
Georgia,Richmond,223380.0,0.0,0.0,28101.0,251481.0
Arkansas,Clark,251330.0,0.0,0.0,0.0,251330.0
New Jersey,Monmouth,213668.0,37557.0,0.0,0.0,251225.0
North Carolina,Macon,250609.0,0.0,0.0,0.0,250609.0
South Carolina,Pickens,250414.5,0.0,0.0,0.0,250414.5
North Dakota,Burleigh,160415.0,1875.0,63422.0,24473.0,250185.0
South Carolina,Darlington,250071.0,0.0,0.0,0.0,250071.0
Florida,Columbia,249696.0,0.0,0.0,0.0,249696.0
Texas,Webb,196675.0,52977.5,0.0,0.0,249652.5
North Dakota,Billings,241030.0,0.0,0.0,8580.0,249610.0
Ohio,Preble,233415.0,5748.0,0.0,10244.0,249407.0
Tennessee,Jefferson,249333.0,0.0,0.0,0.0,249333.0
Oklahoma,Creek,249296.0,0.0,0.0,0.0,249296.0
Ohio,Allen,207814.5,0.0,0.0,41347.0,249161.5
Oklahoma,Pittsburg,248967.0,0.0,0.0,0.0,248967.0
Illinois,McHenry,248707.0,0.0,0.0,0.0,248707.0
South Carolina,Spartanburg,248205.0,0.0,0.0,0.0,248205.0
Mississippi,DeSoto,227817.0,0.0,20253.0,0.0,248070.0
North Carolina,Carteret,247773.0,0.0,0.0,0.0,247773.0
Indiana,Perry,182883.0,0.0,0.0,64161.0,247044.0
Pennsylvania,Perry,160150.0,0.0,44184.0,42668.0,247002.0
Missouri,Monroe,220248.0,0.0,4343.0,22366.0,246957.0
Alabama,Shelby,232758.0,0.0,9532.0,4298.0,246588.0
South Carolina,Berkeley,246496.0,0.0,0.0,0.0,246496.0
Kentucky,Jessamine,215067.0,0.0,0.0,29027.0,244094.0
Oklahoma,Mayes,191926.0,0.0,18824.0,33227.0,243977.0
Virginia,Norfolk City,0.0,29095.5,128301.0,85518.0,242914.5
Illinois,Kane,242369.0,0.0,0.0,0.0,242369.0
Florida,Liberty,242266.0,0.0,0.0,0.0,242266.0
North Carolina,Guilford,222426.5,19756.0,0.0,0.0,242182.5
New Jersey,Ocean,242166.0,0.0,0.0,0.0,242166.0
